zip,city,region,region_vid
98001,Auburn,south,1164
98002,Auburn,south,1164
98003,Federal Way,south,1164
98004,Bellevue,east,1163
98005,Bellevue,east,1163
98006,Bellevue,east,1163
98007,Bellevue,east,1163
98008,Bellevue,east,1163
98009,Bellevue,east,1163
98010,Black Diamond,south,1164
98011,Bothell,1161,1161
98013,"Burton, Vashon",south,1164
98014,Carnation,east,1163
98015,Bellevue,east,1163
98019,Duvall,east,1163
98022,Enumclaw,south,1164
98023,Federal Way,south,1164
98024,Fall City,east,1163
98025,Hobart,east,1163
98027,Issaquah,east,1163
98028,Bothell,1161,1161
98029,Issaquah,east,1163
98030,Kent,south,1164
98031,Kent,south,1164
98032,Kent,south,1164
98033,Kirkland,east,1163
98034,Kirkland,east,1163
98035,Kent,south,1164
98038,Maple Valley,south,1164
98039,Medina,east,1163
98040,Mercer Island,east,1163
98041,Bothell,1161,1161
98042,Kent,south,1164
98045,1161 Bend,east,1163
98047,Auburn,south,1164
98050,Preston,east,1163
98051,Reavensdale,south,1164
98052,Redmond,east,1163
98053,Redmond,east,1163
98054,Auburn-Redondo,south,1164
98055,Renton,south,1164
98056,Renton,south,1164
98057,Renton,south,1164
98058,Renton,south,1164
98059,Renton,East,1163
98062,Seahurst,south,1164
98063,Auburn,south,1164
98064,Kent,south,1164
98065,Snoqualmie,east,1163
98068,Snoqualmie Pass,east,1163
98070,Vashon,south,1164
98071,Auburn,south,1164
98072,Woodinville/2counties,1161,1161
98073,Redmond,east,1163
98074,Samamish/Redmond,east,1163
98075,Samamish/Issaquah,east,1163
98077,Woodinville/2counties,east,1163
98082,Mill Creek,1161,1161
98083,Kirkland,east,1163
98089,Kent,south,1164
98092,Auburn,south,1164
98093,Auburn,south,1164
98101,1162,1162,1162
98102,1162,1162,1162
98103,1162,1162,1162
98104,1162,1162,1162
98105,1162,1162,1162
98106,1162,1162,1162
98107,1162,1162,1162
98108,1162,1162,1162
98109,1162,1162,1162
98111,1162,1162,1162
98112,1162,1162,1162
98113,1162,1162,1162
98114,1162,1162,1162
98115,1162,1162,1162
98116,1162,1162,1162
98117,1162,1162,1162
98118,1162,1162,1162
98119,1162,1162,1162
98121,1162,1162,1162
98122,1162,1162,1162
98124,1162,1162,1162
98125,1162,1162,1162
98126,1162,1162,1162
98127,1162,1162,1162
98129,Seatle,1162,1162
98131,1162,1162,1162
98132,1162,1162,1162
98133,1162/N County,1161,1161
98134,1162,1162,1162
98136,1162,1162,1162
98138,1162,1162,1162
98139,1162,1162,1162
98141,1162,1162,1162
98144,1162,1162,1162
98145,1162,1162,1162
98146,1162,south,1164
98148,1162,south,1164
98154,1162,1162,1162
98155,1162/N County,1161,1161
98158,1162,south,1164
98160,1162,1161,1161
98161,1162,1162,1162
98164,1162,1162,1162
98165,1162,1162,1162
98166,1162,south,1164
98168,1162,south,1164
98171,1162,1162,1162
98174,1162,1162,1162
98175,1162,1162,1162
98177,1162/N County,1161,1161
98178,1162,south,1164
98188,1162,south,1164
98194,1162,1162,1162
98195,"1162, unique",1162,1162
98198,1162,south,1164
98199,1162,1162,1162
98224,Baring,east,1163
98288,Skykomish,east,1163
