"group","code","major","minor","broad","detailed","title","essential","notes"
"Major","11-0000","11-0000",NA,NA,NA,"Management Occupations",0,"Based on https://www.lmiontheweb.org/more-than-half-of-u-s-workers-in-critical-occupations-in-the-fight-against-covid-19/"
"Minor","11-1000","11-0000","11-1000",NA,NA,"Top Executives",0,"Supplemented with 12 SOC codes from https://georgetown.southseattle.edu/sites/georgetown.southseattle.edu/files/inline-files/Essential-Precarious-and-At-Risk-Washington-Workers-in-High-Hazard-Low-Reward-Jobs.pdf"
"Broad","11-1010","11-0000","11-1000","11-1010",NA,"Chief Executives",0,"Assumed broad was essential if detailed was essential. ex. 11-3012 & 11-3013 essential, so 11-3010 is essential"
"Detailed","11-1011","11-0000","11-1000","11-1010","11-1011","Chief Executives",0,NA
"Broad","11-1020","11-0000","11-1000","11-1020",NA,"General and Operations Managers",0,NA
"Detailed","11-1021","11-0000","11-1000","11-1020","11-1021","General and Operations Managers",0,NA
"Broad","11-1030","11-0000","11-1000","11-1030",NA,"Legislators",0,NA
"Detailed","11-1031","11-0000","11-1000","11-1030","11-1031","Legislators",0,NA
"Broad","11-1030","11-0000","11-2000","11-1030",NA,"Advertising, Marketing, Promotions, Public Relations, and Sales Managers",0,NA
"Broad","11-2010","11-0000","11-2000","11-2010",NA,"Advertising and Promotions Managers",0,NA
"Detailed","11-2011","11-0000","11-2000","11-2010","11-2011","Advertising and Promotions Managers",0,NA
"Broad","11-2020","11-0000","11-2000","11-2020",NA,"Marketing and Sales Managers",0,NA
"Detailed","11-2021","11-0000","11-2000","11-2020","11-2021","Marketing Managers",0,NA
"Detailed","11-2022","11-0000","11-2000","11-2020","11-2022","Sales Managers",0,NA
"Broad","11-2030","11-0000","11-2000","11-2030",NA,"Public Relations and Fundraising Managers",0,NA
"Detailed","11-2032","11-0000","11-2000","11-2030","11-2032","Public Relations Managers",0,NA
"Detailed","11-2033","11-0000","11-2000","11-2030","11-2033","Fundraising Managers",0,NA
"Broad","11-2030","11-0000","11-3000","11-2030",NA,"Operations Specialties Managers",0,NA
"Broad","11-3010","11-0000","11-3000","11-3010",NA,"Administrative Services and Facilities Managers",1,NA
"Detailed","11-3012","11-0000","11-3000","11-3010","11-3012","Administrative Services Managers",1,NA
"Detailed","11-3013","11-0000","11-3000","11-3010","11-3013","Facilities Managers",1,NA
"Broad","11-3020","11-0000","11-3000","11-3020",NA,"Computer and Information Systems Managers",1,NA
"Detailed","11-3021","11-0000","11-3000","11-3020","11-3021","Computer and Information Systems Managers",1,NA
"Broad","11-3030","11-0000","11-3000","11-3030",NA,"Financial Managers",1,NA
"Detailed","11-3031","11-0000","11-3000","11-3030","11-3031","Financial Managers",1,NA
"Broad","11-3050","11-0000","11-3000","11-3050",NA,"Industrial Production Managers",1,NA
"Detailed","11-3051","11-0000","11-3000","11-3050","11-3051","Industrial Production Managers",1,NA
"Broad","11-3060","11-0000","11-3000","11-3060",NA,"Purchasing Managers",1,NA
"Detailed","11-3061","11-0000","11-3000","11-3060","11-3061","Purchasing Managers",1,NA
"Broad","11-3070","11-0000","11-3000","11-3070",NA,"Transportation, Storage, and Distribution Managers",1,NA
"Detailed","11-3071","11-0000","11-3000","11-3070","11-3071","Transportation, Storage, and Distribution Managers",1,NA
"Broad","11-3110","11-0000","11-3000","11-3110",NA,"Compensation and Benefits Managers",0,NA
"Detailed","11-3111","11-0000","11-3000","11-3110","11-3111","Compensation and Benefits Managers",0,NA
"Broad","11-3120","11-0000","11-3000","11-3120",NA,"Human Resources Managers",1,NA
"Detailed","11-3121","11-0000","11-3000","11-3120","11-3121","Human Resources Managers",1,NA
"Broad","11-3130","11-0000","11-3000","11-3130",NA,"Training and Development Managers",0,NA
"Detailed","11-3131","11-0000","11-3000","11-3130","11-3131","Training and Development Managers",0,NA
"Broad","11-3130","11-0000","11-9000","11-3130",NA,"Other Management Occupations",0,NA
"Broad","11-9010","11-0000","11-9000","11-9010",NA,"Farmers, Ranchers, and Other Agricultural Managers",1,NA
"Detailed","11-9013","11-0000","11-9000","11-9010","11-9013","Farmers, Ranchers, and Other Agricultural Managers",1,NA
"Broad","11-9020","11-0000","11-9000","11-9020",NA,"Construction Managers",1,NA
"Detailed","11-9021","11-0000","11-9000","11-9020","11-9021","Construction Managers",1,NA
"Broad","11-9030","11-0000","11-9000","11-9030",NA,"Education and Childcare Administrators",1,NA
"Detailed","11-9031","11-0000","11-9000","11-9030","11-9031","Education and Childcare Administrators, Preschool and Daycare",1,NA
"Detailed","11-9032","11-0000","11-9000","11-9030","11-9032","Education Administrators, Kindergarten through Secondary",1,NA
"Detailed","11-9033","11-0000","11-9000","11-9030","11-9033","Education Administrators, Postsecondary",1,NA
"Detailed","11-9039","11-0000","11-9000","11-9030","11-9039","Education Administrators, All Other",1,NA
"Broad","11-9040","11-0000","11-9000","11-9040",NA,"Architectural and Engineering Managers",0,NA
"Detailed","11-9041","11-0000","11-9000","11-9040","11-9041","Architectural and Engineering Managers",0,NA
"Broad","11-9050","11-0000","11-9000","11-9050",NA,"Food Service Managers",1,NA
"Detailed","11-9051","11-0000","11-9000","11-9050","11-9051","Food Service Managers",1,NA
"Broad","11-9070","11-0000","11-9000","11-9070",NA,"Entertainment and Recreation Managers",0,NA
"Detailed","11-9071","11-0000","11-9000","11-9070","11-9071","Gambling Managers",0,NA
"Detailed","11-9072","11-0000","11-9000","11-9070","11-9072","Entertainment and Recreation Managers, Except Gambling",0,NA
"Broad","11-9080","11-0000","11-9000","11-9080",NA,"Lodging Managers",0,NA
"Detailed","11-9081","11-0000","11-9000","11-9080","11-9081","Lodging Managers",0,NA
"Broad","11-9110","11-0000","11-9000","11-9110",NA,"Medical and Health Services Managers",1,NA
"Detailed","11-9111","11-0000","11-9000","11-9110","11-9111","Medical and Health Services Managers",1,NA
"Broad","11-9120","11-0000","11-9000","11-9120",NA,"Natural Sciences Managers",1,NA
"Detailed","11-9121","11-0000","11-9000","11-9120","11-9121","Natural Sciences Managers",1,NA
"Broad","11-9130","11-0000","11-9000","11-9130",NA,"Postmasters and Mail Superintendents",0,NA
"Detailed","11-9131","11-0000","11-9000","11-9130","11-9131","Postmasters and Mail Superintendents",0,NA
"Broad","11-9140","11-0000","11-9000","11-9140",NA,"Property, Real Estate, and Community Association Managers",0,NA
"Detailed","11-9141","11-0000","11-9000","11-9140","11-9141","Property, Real Estate, and Community Association Managers",0,NA
"Broad","11-9150","11-0000","11-9000","11-9150",NA,"Social and Community Service Managers",1,NA
"Detailed","11-9151","11-0000","11-9000","11-9150","11-9151","Social and Community Service Managers",1,NA
"Broad","11-9160","11-0000","11-9000","11-9160",NA,"Emergency Management Directors",1,NA
"Detailed","11-9161","11-0000","11-9000","11-9160","11-9161","Emergency Management Directors",1,NA
"Broad","11-9170","11-0000","11-9000","11-9170",NA,"Personal Service Managers",1,NA
"Detailed","11-9171","11-0000","11-9000","11-9170","11-9171","Funeral Home Managers",1,NA
"Detailed","11-9179","11-0000","11-9000","11-9170","11-9179","Personal Service Managers, All Other",1,NA
"Broad","11-9190","11-0000","11-9000","11-9190",NA,"Miscellaneous Managers",0,NA
"Detailed","11-9199","11-0000","11-9000","11-9190","11-9199","Managers, All Other",0,NA
"Broad","11-9190","13-0000","11-9000","11-9190",NA,"Business and Financial Operations Occupations",0,NA
"Broad","11-9190","13-0000","13-1000","11-9190",NA,"Business Operations Specialists",0,NA
"Broad","13-1010","13-0000","13-1000","13-1010",NA,"Agents and Business Managers of Artists, Performers, and Athletes",0,NA
"Detailed","13-1011","13-0000","13-1000","13-1010","13-1011","Agents and Business Managers of Artists, Performers, and Athletes",0,NA
"Broad","13-1020","13-0000","13-1000","13-1020",NA,"Buyers and Purchasing Agents",0,NA
"Detailed","13-1021","13-0000","13-1000","13-1020","13-1021","Buyers and Purchasing Agents, Farm Products",0,NA
"Detailed","13-1022","13-0000","13-1000","13-1020","13-1022","Wholesale and Retail Buyers, Except Farm Products",0,NA
"Detailed","13-1023","13-0000","13-1000","13-1020","13-1023","Purchasing Agents, Except Wholesale, Retail, and Farm Products",0,NA
