"major","minor","broad","detailed","major.title","minor.title","broad.title","detailed.title","notes"
"11-0000",NA,NA,NA,"Management Occupations",NA,NA,NA,"Downloaded 2020-11-09, final structure for BLS 2010 SOC"
"11-0000","11-1000",NA,NA,"Management Occupations","Top Executives",NA,NA,NA
"11-0000","11-1000","11-1010",NA,"Management Occupations","Top Executives","Chief Executives",NA,NA
"11-0000","11-1000","11-1010","11-1011","Management Occupations","Top Executives","Chief Executives","Chief Executives",NA
"11-0000","11-1000","11-1020",NA,"Management Occupations","Top Executives","General and Operations Managers",NA,NA
"11-0000","11-1000","11-1020","11-1021","Management Occupations","Top Executives","General and Operations Managers","General and Operations Managers",NA
"11-0000","11-1000","11-1030",NA,"Management Occupations","Top Executives","Legislators",NA,NA
"11-0000","11-1000","11-1030","11-1031","Management Occupations","Top Executives","Legislators","Legislators",NA
"11-0000","11-2000",NA,NA,"Management Occupations","Advertising, Marketing, Promotions, Public Relations, and Sales Managers",NA,NA,NA
"11-0000","11-2000","11-2010",NA,"Management Occupations","Advertising, Marketing, Promotions, Public Relations, and Sales Managers","Advertising and Promotions Managers",NA,NA
"11-0000","11-2000","11-2010","11-2011","Management Occupations","Advertising, Marketing, Promotions, Public Relations, and Sales Managers","Advertising and Promotions Managers","Advertising and Promotions Managers",NA
"11-0000","11-2000","11-2020",NA,"Management Occupations","Advertising, Marketing, Promotions, Public Relations, and Sales Managers","Marketing and Sales Managers",NA,NA
"11-0000","11-2000","11-2020","11-2021","Management Occupations","Advertising, Marketing, Promotions, Public Relations, and Sales Managers","Marketing and Sales Managers","Marketing Managers",NA
"11-0000","11-2000","11-2020","11-2022","Management Occupations","Advertising, Marketing, Promotions, Public Relations, and Sales Managers","Marketing and Sales Managers","Sales Managers",NA
"11-0000","11-2000","11-2030",NA,"Management Occupations","Advertising, Marketing, Promotions, Public Relations, and Sales Managers","Public Relations and Fundraising Managers",NA,NA
"11-0000","11-2000","11-2030","11-2031","Management Occupations","Advertising, Marketing, Promotions, Public Relations, and Sales Managers","Public Relations and Fundraising Managers","Public Relations and Fundraising Managers",NA
"11-0000","11-3000",NA,NA,"Management Occupations","Operations Specialties Managers",NA,NA,NA
"11-0000","11-3000","11-3010",NA,"Management Occupations","Operations Specialties Managers","Administrative Services Managers",NA,NA
"11-0000","11-3000","11-3010","11-3011","Management Occupations","Operations Specialties Managers","Administrative Services Managers","Administrative Services Managers",NA
"11-0000","11-3000","11-3020",NA,"Management Occupations","Operations Specialties Managers","Computer and Information Systems Managers",NA,NA
"11-0000","11-3000","11-3020","11-3021","Management Occupations","Operations Specialties Managers","Computer and Information Systems Managers","Computer and Information Systems Managers",NA
"11-0000","11-3000","11-3030",NA,"Management Occupations","Operations Specialties Managers","Financial Managers",NA,NA
"11-0000","11-3000","11-3030","11-3031","Management Occupations","Operations Specialties Managers","Financial Managers","Financial Managers",NA
