"major","minor","broad","detailed","title","notes"
"11-0000",NA,NA,NA,"Management Occupations","Downloaded 2020-11-09, final structure for BLS 2018 SOC"
"11-0000","11-1000",NA,NA,"Top Executives",NA
"11-0000","11-1000","11-1010",NA,"Chief Executives",NA
"11-0000","11-1000","11-1010","11-1011","Chief Executives",NA
"11-0000","11-1000","11-1020",NA,"General and Operations Managers",NA
"11-0000","11-1000","11-1020","11-1021","General and Operations Managers",NA
"11-0000","11-1000","11-1030",NA,"Legislators",NA
"11-0000","11-1000","11-1030","11-1031","Legislators",NA
"11-0000","11-2000","11-1030",NA,"Advertising, Marketing, Promotions, Public Relations, and Sales Managers",NA
"11-0000","11-2000","11-2010",NA,"Advertising and Promotions Managers",NA
"11-0000","11-2000","11-2010","11-2011","Advertising and Promotions Managers",NA
"11-0000","11-2000","11-2020",NA,"Marketing and Sales Managers",NA
"11-0000","11-2000","11-2020","11-2021","Marketing Managers",NA
"11-0000","11-2000","11-2020","11-2022","Sales Managers",NA
"11-0000","11-2000","11-2030",NA,"Public Relations and Fundraising Managers",NA
"11-0000","11-2000","11-2030","11-2032","Public Relations Managers",NA
"11-0000","11-2000","11-2030","11-2033","Fundraising Managers",NA
"11-0000","11-3000","11-2030",NA,"Operations Specialties Managers",NA
"11-0000","11-3000","11-3010",NA,"Administrative Services and Facilities Managers",NA
"11-0000","11-3000","11-3010","11-3012","Administrative Services Managers",NA
"11-0000","11-3000","11-3010","11-3013","Facilities Managers",NA
"11-0000","11-3000","11-3020",NA,"Computer and Information Systems Managers",NA
"11-0000","11-3000","11-3020","11-3021","Computer and Information Systems Managers",NA
"11-0000","11-3000","11-3030",NA,"Financial Managers",NA
"11-0000","11-3000","11-3030","11-3031","Financial Managers",NA
"11-0000","11-3000","11-3050",NA,"Industrial Production Managers",NA
"11-0000","11-3000","11-3050","11-3051","Industrial Production Managers",NA
"11-0000","11-3000","11-3060",NA,"Purchasing Managers",NA
"11-0000","11-3000","11-3060","11-3061","Purchasing Managers",NA
"11-0000","11-3000","11-3070",NA,"Transportation, Storage, and Distribution Managers",NA
"11-0000","11-3000","11-3070","11-3071","Transportation, Storage, and Distribution Managers",NA
"11-0000","11-3000","11-3110",NA,"Compensation and Benefits Managers",NA
"11-0000","11-3000","11-3110","11-3111","Compensation and Benefits Managers",NA
"11-0000","11-3000","11-3120",NA,"Human Resources Managers",NA
"11-0000","11-3000","11-3120","11-3121","Human Resources Managers",NA
"11-0000","11-3000","11-3130",NA,"Training and Development Managers",NA
"11-0000","11-3000","11-3130","11-3131","Training and Development Managers",NA
"11-0000","11-9000","11-3130",NA,"Other Management Occupations",NA
"11-0000","11-9000","11-9010",NA,"Farmers, Ranchers, and Other Agricultural Managers",NA
"11-0000","11-9000","11-9010","11-9013","Farmers, Ranchers, and Other Agricultural Managers",NA
"11-0000","11-9000","11-9020",NA,"Construction Managers",NA
"11-0000","11-9000","11-9020","11-9021","Construction Managers",NA
"11-0000","11-9000","11-9030",NA,"Education and Childcare Administrators",NA
"11-0000","11-9000","11-9030","11-9031","Education and Childcare Administrators, Preschool and Daycare",NA
"11-0000","11-9000","11-9030","11-9032","Education Administrators, Kindergarten through Secondary",NA
"11-0000","11-9000","11-9030","11-9033","Education Administrators, Postsecondary",NA
