hra,id,region,region_id
Auburn-North  ,1000,South,4
Auburn-South  ,1100,South,4
Ballard,2000,Seattle,3
Beacon/Gtown/S.Park  ,2100,Seattle,3
Capitol Hill/E.lake ,2200,Seattle,3
Central Seattle ,2300,Seattle,3
Delridge  ,2400,Seattle,3
Downtown  ,2500,Seattle,3
Fremont/Greenlake  ,2550,Seattle,3
NE Seattle ,2600,Seattle,3
North Seattle ,2700,Seattle,3
NW Seattle ,2800,Seattle,3
QA/Magnolia  ,2900,Seattle,3
SE Seattle ,2950,Seattle,3
West Seattle ,2960,Seattle,3
Bear Creek/Carnation/Duvall ,3000,East,1
Bellevue-Central  ,4000,East,1
Bellevue-NE  ,4100,East,1
Bellevue-South  ,4200,East,1
Bellevue-West  ,4300,East,1
Black Diamond/Enumclaw/SE County,5000,South,4
Bothell/Woodinville,6000,North,2
Burien  ,7000,South,4
Covington/Maple Valley ,8000,South,4
Des Moines/Normandy Park,9000,South,4
East Federal Way,10000,South,4
Fed Way-Central/Military Rd,10100,South,4
Fed Way-Dash Pt,10200,South,4
Fairwood  ,11000,South,4
Issaquah  ,12000,East,1
Kenmore/LFP,13000,North,2
Kent-East  ,14000,South,4
Kent-SE  ,14100,South,4
Kent-West  ,14200,South,4
Kirkland  ,15000,East,1
Kirkland North ,15100,East,1
Mercer Isle/Pt Cities,16000,East,1
Newcastle/Four Creeks ,17000,East,1
North Highline ,18000,South,4
Redmond  ,19000,East,1
Renton-East  ,20000,South,4
Renton-North  ,20100,South,4
Renton-South  ,20200,South,4
Sammamish  ,21000,East,1
SeaTac/Tukwila  ,22000,South,4
Shoreline,23000,North,2
Snoqualmie/N.Bend/Skykomish  ,24000,East,1
Vashon Island ,25000,South,4
